SOURCE	ID	PREMISE	HYPOTHESIS
PRETEST	BNI1	El hijo oyó que le estaban llamando.	Estaban llamando al hijo.
PRETEST	BNI2	El presidente dijo que el país tenía problemas económicos.	El país tenía problemas económicos.
PRETEST	BNI3	El experto creía que la tendencia había cambiado.	La tendencia había cambiado.
PRETEST	BNI4	La periodista sabía que la noticia era falsa.	La noticia era falsa.
PRETEST	BNI5	El jugador anunció que iba a cambiar de equipo.	El jugador iba a cambiar de equipo.
PRETEST	BNI6	El entrenador sospechaba que el equipo contrario había comprado al árbrito.	El equipo contrario había comprado al árbitro.
PRETEST	BNI7	La escritora intuía que su nueva novela iba a tener éxito.	La nueva novela de la escritora iba a tener éxito.
PRETEST	BNI8	El general creyó que los ataques habían cesado.	Los ataques habían cesado.
PRETEST	BNI9	El cantante sabía que la canción iba a ser todo un éxito.	La canción iba a ser un éxito.
PRETEST	BNI10	El hijo de la actriz oyó que le estaban llamando.	Estaban llamando al hijo de la actriz.
PRETEST	BNI11	El presidente de España dijo que el país tenía problemas económicos.	El país tenía problemas económicos.
PRETEST	BNI12	El experto en epidemias creía que la tendencia había cambiado.	La tendencia había cambiado.
PRETEST	BNI13	La periodista de LaSexta sabía que la noticia era falsa.	La noticia era falsa.
PRETEST	BNI14	El jugador de fútbol anunció que iba a cambiar de equipo.	El jugador de fútbol iba a cambiar de equipo.
PRETEST	BNI15	El entrenador de fútbol sospechaba que el equipo contrario había comprado al árbrito.	El equipo contrario había comprado al árbitro.
PRETEST	BNI16	La autora de literatura juvenil intuía que su nueva novela iba a tener éxito.	La nueva novela de la autora de literatura juvenil iba a tener éxito.
PRETEST	BNI17	El general británico creyó que los ataques habían cesado.	Los ataques habían cesado.
PRETEST	BNI18	El cantante cubano sabía que la canción iba a ser todo un éxito.	La canción iba a ser un éxito.
PRETEST	BNI19	El hijo de Nicole Kidman oyó que le estaban llamando.	Estaban llamando al hijo de Nicole Kidman.
PRETEST	BNI20	José Luis Rodríguez Zapatero dijo que el país tenía problemas económicos.	El país tenía problemas económicos.
PRETEST	BNI21	Fernando Simón creía que la tendencia había cambiado.	La tendencia había cambiado.
PRETEST	BNI22	Ana Pastor sabía que la noticia era falsa.	La noticia era falsa.
PRETEST	BNI23	Sergio Ramos anunció que iba a cambiar de equipo.	Sergio Ramos iba a cambiar de equipo.
PRETEST	BNI24	Julian Lopetegui sospechaba que el equipo contrario había comprado al árbrito.	El equipo contrario había comprado al árbitro.
PRETEST	BNI25	J.K. Rowling intuía que su nueva novela iba a tener éxito.	La nueva novela de J.K. Rowling iba a tener éxito.
PRETEST	BNI26	Bernard Montgomery creyó que los ataques habían cesado.	Los ataques habían cesado.
PRETEST	BNI27	Maykel Osorbo sabía que la canción iba a ser todo un éxito.	La canción iba a ser un éxito.
QUIJOTE	BNI28	Lotario: Creo que es tan bueno como el primero.	Es tan bueno como el primero.
XNLI	BNI29	Bin Laden sabía que el FBI había retenido a Moussaoui.	El FBI había retenido a Moussaoui. 
XNLI	BNI30	Bin Laden sabía que Moussaoui había sido detenido.	Moussaoui había sido detenido.
XNLI	BNI31	Los operadores sabían que los rescates en techos eran imposibles.	Los rescates en techos eran imposibles. 
OLD_NEWS	BNI32	La protagonista de esta apasionante historia sospecha que este encuentro es tan sólo una pieza en el malvado plan Toribio.	Este encuentro es tan sólo una pieza en el malvado plan Toribio. 
OLD_NEWS	BNI33	La persona me declaró que eso era una iglesia.	Eso era una iglesia.
OLD_NEWS	BNI34	El hombrón duda que es una carta segura de hits bailables para 2011.	Es una carta segura de hits bailables para 2011.  
OLD_NEWS	BNI35	Algunos lectores entendían que se trataba, precisamente, de una crítica a la banalidad.	Precisamente se trataba de una crítica a la banalidad. 
OLD_NEWS	BNI36	Un caminante distraído había advertido que allí se ocultaba un sofisticado equipo transmisor.	Allí se ocultaba un sofisticado equipo transmisor. 
OLD_NEWS	BNI37	El lobisón sabe que todo aquello es más una pieza en el malvado plan de Toribio.	Todo aquello es más una pieza en el malvado plan de Toribio.
OLD_NEWS	BNI38	Jorge Chávez sabía que lo peor estaba por venir.	Lo peor estaba por venir.
OLD_NEWS	BNI39	Manassero olvidó que la hijita se llama Micaela.	La hijita se llama Micaela. 
OLD_NEWS	BNI40	Los críticos de las acciones niponas dudan que se trata la mejor excusa para cubrir una caza comercial prohibida por comunidad internacional.	Se trata la mejor excusa para cubrir una caza comercial prohibida por comunidad internacional. 
OLD_NEWS	BNI41	Lapiedra sabía que la joven colombiana era menor de edad.	La joven colombiana era menor de edad. 
