ID	PREMISE	HYPOTHESIS	PREMISE TRANSLATED	HYPOTHESIS TRANSLATED	LABEL 
BAC7	La academia presentó a sus nuevos miembros.	La academia presentó a sus nuevos miembros.	The academy presented its new members.	The academy presented its new members.	CT+
BAC8	El partido prohibió poner la bandera nacional en sus actos.	El partido prohibió poner la bandera nacional en sus actos.	The party prohibited the display of the national flag in its events.	The party prohibited the display of the national flag in its events.	CT+
BAC14	La empresa americana despidió a buena parte de sus trabajadores.	La empresa americana despidió a buena parte de sus trabajadores.	The American company fired a good amount of the workers.	The American company fired a good amount of the workers.	CT+
BAC16	La academia de la lengua presentó a sus nuevos miembros.	La academia de la lengua presentó a sus nuevos miembros.	The language academy presented its new members.	The language academy presented its new members.	CT+
BAC17	El partido nacionalista prohibió poner la bandera nacional en sus actos.	El partido nacionalista prohibió poner la bandera nacional en sus actos.	The nationalist party prohibited the display of the national flag in its events.	The nationalist party prohibited the display of the national flag in its events.	CT+
BAC23	Coca Cola despidió a buena parte de sus trabajadores.	Coca Cola despidió a buena parte de sus trabajadores.	Coca Cola fired a good amount of the workers.	Coca Cola fired a good amount of the workers.	CT+
BAC25	La RAE presentó a sus nuevos miembros.	La RAE presentó a sus nuevos miembros.	RAE presented its new members.	RAE presented its new members.	CT+
BAC26	VOX prohibió poner la bandera nacional en sus actos.	VOX prohibió poner la bandera nacional en sus actos.	VOX prohibited the display of the national flag in its events.	VOX prohibited the display of the national flag in its events.	CT+
BAC1	El sindicato tenía otra idea.	El sindicato tenía otra idea.	The union had another/a different idea.	The union had another/a different idea.	CT+
BAC2	El gobierno conocía la corrupción existente.	El gobierno conocía la corrupción existente.	The government was aware of the existing corruption.	The government was aware of the existing corruption.	CT+
BAC3	La junta directiva cumplió lo acordado.	La junta directiva cumplió lo acordado.	The board of directors fulfilled what was agreed.	The board of directors fulfilled what was agreed.	CT+
BAC4	La universidad denunció los hechos.	La universidad denunció los hechos.	The university reported the events.	The university reported the events.	CT+
BAC9	El instituto arrestó a los criminales.	El instituto arrestó a los criminales.	The institute arrested the criminals.	The institute arrested the criminals.	CT+
BAC10	El sindicato de la empresa tenía otra idea.	El sindicato de la empresa tenía otra idea.	The company's union had another/a different idea.	The company's union had another/a different idea.	CT+
BAC6	La policía desalojó la zona.	La policía desalojó la zona.	The police vacated the area.	The police vacated the area.	CT+
BAC11	El gobierno nacional conocía la corrupción existente.	El gobierno nacional conocía la corrupción existente.	The national government was aware of the existing corruption.	The national government was aware of the existing corruption.	CT+
BAC12	La junta directiva del club cumplió lo acordado.	La junta directiva del club cumplió lo acordado.	The club's board of directors fulfilled what was agreed.	The club's board of directors fulfilled what was agreed.	CT+
BAC13	La universidad madrileña denunció los hechos.	La universidad madrileña denunció los hechos.	The university from Madrid reported the events.	The university from Madrid reported the events.	CT+
BAC15	La policía local desalojó la zona.	La policía local desalojó la zona.	The local police vacated the area.	The local police vacated the area.	CT+
BAC20	El gobierno español conocía la corrupción existente.	El gobierno español conocía la corrupción existente.	The Spanish government was aware of the existing corruption.	The Spanish government was aware of the existing corruption.	CT+
BAC21	La junta directiva del Real Madrid cumplió lo acordado.	La junta directiva del Real Madrid cumplió lo acordado.	Real Madrid's board of directors fulfilled what was agreed.	Real Madrid's board of directors fulfilled what was agreed.	CT+
BAC22	La UCM denunció los hechos.	La UCM denunció los hechos.	UCM reported the events.	UCM reported the events.	CT+
BAC24	La policía local de Madrid desalojó la zona.	La policía local de Madrid desalojó la zona.	The local police from Madrid vacated the area.	The police from Madrid vacated the area.	CT+
BAC27	La Guardia Civil arrestó a los criminales.	La Guardia Civil arrestó a los criminales.	Guardia Civil arrested the criminals.	Guardia Civil arrested the criminals.	CT+
BAI1	El presidente dijo la verdad.	El presidente dijo la verdad.	The president told the truth.	The president told the truth.	CT+
BAI2	El futbolista conocía todas las condiciones del contrato.	El futbolista conocía todas las condiciones del contrato.	The football player knew all the terms of the contract.	The football player knew all the terms of the contract.	CT+
BAI3	La madre tenía la solución.	La madre tenía la solución.	The mother had the solution.	The mother had the solution.	CT+
BAI4	El director desconocía el historial del actor.	El director desconocía el historial del actor.	The director didn't know the actor's history.	The director didn't know the actor's history.	CT+
BAI6	La mujer sospechaba de su marido.	La mujer sospechaba de su marido.	The woman/wive suspected her husband.	The woman/wive suspected her husband.	CT+
BAI7	El alcalde tenía las llaves de la ciudad.	El alcalde tenía las llaves de la ciudad.	The mayor had the keys to the city.	The mayor had the keys to the city.	CT+
BAI10	El presidente del gobierno dijo la verdad.	El presidente del gobierno dijo la verdad.	The president of the government told the truth.	The president of the government told the truth.	CT+
BAI11	El futbolista del PSG conocía todas las condiciones del contrato.	El futbolista del PSG conocía todas las condiciones del contrato.	The PSSG player knew all the terms of the contract.	The PSG player knew all the terms of the contract.	CT+
