ID	R1	R2	R3	R4	R5	R6	R7
BNI1	PR-	Uu	CT+	CT+	CT+	PR+	PS+
INI1	Uu	PS+	PS+	CT+	CT-	CT+	PS-
SNI1	PS+	PR+	CT+	PS-	PR-	PR-	PR+
BNC1	CT+	Uu	CT+	PR+	PR-	CT+	PR+
INC1	CT+	CT-	PR+	PS-	PR-	PS-	PS+
BNI2	PS-	PR-	Uu	CT+	CT+	Uu	CT+
INI2	PS-	CT+	CT-	PR+	PS+	PR+	CT+
BNC2	PS+	Uu	PS-	PR+	PS+	PR+	PS+
SNC2	PR-	PR-	PS+	CT+	Uu	CT+	PS-
BNI3	PR+	PS+	PR+	CT+	PS+	PR+	CT+
INI3	PR+	Uu	CT-	CT+	PS-	CT+	CT-
SNI3	PS+	PR+	PR-	Uu	PR+	PS-	PR-
BNC3	PS-	PS+	CT+	CT+	PS-	PR+	CT+
INC3	PS+	CT+	PS+	CT+	CT+	PS+	PS+
SNC3	PS+	PS+	CT-	PS+	PR+	PS+	PS+
BNI4	CT+	PR+	Uu	CT+	PR+	Uu	CT+
INI4	PS+	PR+	CT+	PS-	CT+	PS+	PR-
SNI4	CT-	PR+	CT+	PR-	Uu	PR+	Uu
BNC4	CT+	Uu	CT+	PR+	PS+	PR-	PS-
INC4	Uu	PR-	PR-	CT+	CT-	PR+	CT-
SNC4	Uu	CT-	CT+	PR-	PR+	PS+	Uu
BNI5	CT+	CT+	PR-	PR-	PR+	PS+	PS+
INI5	PS-	PR-	PR+	CT+	PS+	CT+	PS-
SNI5	CT+	CT-	CT-	CT-	PR+	CT+	PR+
BNC5	CT+	CT+	CT+	CT-	PS+	CT+	CT+
INC5	Uu	PR+	PS+	PR+	CT+	PS+	PR+
SNC5	PS+	Uu	PS+	PR+	PS+	CT-	PS+
INI6	CT-	PS+	CT+	CT+	CT-	PR+	CT+
SNI6	CT+	PR+	PS-	CT+	Uu	Uu	CT+
BNC6	PS+	CT+	PS-	Uu	CT+	PS+	PR+
INC6	CT+	CT+	PR-	CT+	PS-	CT-	CT+
SNC6	Uu	CT-	PR-	PS+	Uu	PS-	PR-
BNI7	CT+	Uu	CT-	CT+	PS+	Uu	PR-
INI7	PS+	PS-	PS+	Uu	PS+	PS+	PS-
BNC7	PR-	PS+	PR-	PR+	PS-	PR+	CT+
INC7	PS+	CT-	PR-	PR-	PR-	PS+	Uu
SNC7	PS+	PR+	CT+	CT+	PR-	Uu	PR-
BNI8	PR+	PS-	PR-	CT+	CT+	PR-	PS-
INI8	Uu	CT+	PS-	PR+	CT-	PR-	CT+
SNI8	PR-	PR+	PS-	PR-	CT-	PS-	PR+
BNC8	CT-	CT+	Uu	PS-	CT+	CT+	CT-
INC8	CT+	CT+	PR-	PS+	CT+	CT+	PR+
SNC8	PS+	PR+	PR+	CT+	CT-	CT-	CT-
BNI9	CT+	CT+	PS+	PR+	Uu	PR+	PR+
INI9	PS-	CT+	CT+	CT+	PR+	PS-	PS+
SNI9	PR-	PS+	Uu	PR-	CT-	PR+	PS+
BNC9	PS-	PR+	CT+	CT+	PR-	Uu	PR+
INC9	PS+	Uu	PR+	PR-	CT+	PR-	CT+
SNC9	PS-	CT-	CT+	CT-	Uu	PR-	CT+
BNI10	CT-	PS+	CT+	CT+	CT+	CT+	PS+
INI10	PR-	CT+	PR-	PR+	Uu	PS-	PS+
SNI10	CT+	PS+	CT+	PR-	CT+	PS+	CT+
BNC10	CT+	PR+	PR+	CT+	CT+	CT+	CT+
INC10	PS-	PS+	PR-	CT-	CT+	PR+	PS+
SNC10	PS-	PR+	PR-	PS+	Uu	Uu	PS+
BNI11	CT-	CT+	CT+	PS-	CT+	CT+	PS+
INI11	CT+	PS-	Uu	PR+	CT+	PR+	PR+
SNI11	PS+	CT-	Uu	PS-	CT+	CT+	Uu
BNC11	PS+	PR+	PR+	PR+	PR+	PR+	PR-
INC11	CT+	Uu	CT+	PS+	PR+	PS+	PR-
SNC11	PR+	Uu	PS-	PR+	CT+	PS-	Uu
BNI12	PR+	CT-	CT+	CT-	CT+	CT-	CT+
INI12	PS+	Uu	Uu	PR+	CT+	PS+	Uu
SNI12	PR-	CT+	PS+	CT+	CT+	PS-	CT+
BNC12	CT-	CT+	PR-	Uu	PS-	CT+	CT+
INC12	PS-	PS-	CT+	CT+	CT+	CT+	PR-
SNC12	Uu	PR+	CT+	PR+	Uu	PS+	PS+
BNI13	CT+	CT+	CT+	PR-	CT+	CT+	CT+
INI13	CT+	PR-	Uu	PR+	PS+	CT+	PS+
SNI13	Uu	PS-	CT+	PR+	CT+	CT-	PR+
BNC13	PR-	PS+	Uu	Uu	Uu	Uu	CT+
SNC13	PS-	PR-	CT-	CT+	PS+	CT+	PS+
BNI14	CT+	PS+	CT+	CT-	CT+	CT+	PR+
INI14	CT-	PR+	CT-	PR-	CT-	PS+	PR+
SNI14	Uu	PS+	CT+	PR-	PR-	CT-	PS-
BNC14	PR-	CT+	CT-	CT+	PR+	CT+	PS-
INC14	PR-	PR-	PR+	PS-	PS-	PR+	CT+
BNI15	PR+	PS-	PR+	PS-	PS+	Uu	PR+
SNI15	PS-	PR-	PS-	CT-	CT+	PR+	PS+
BNC15	CT+	PR-	CT+	CT+	CT+	CT+	CT+
INC15	PS+	PR-	CT-	CT-	Uu	PS+	Uu
SNC15	PR+	CT-	PS-	CT+	CT+	PS+	PS+
BNI16	PS-	PR+	Uu	CT+	CT+	CT-	PS+
INI16	PR+	PS-	CT+	PS+	PR+	PS+	CT+
SNI16	CT-	CT+	CT+	PS-	CT+	PS+	PR+
BNC16	Uu	PS-	PS+	PS+	Uu	PS-	PS-
INC16	PR+	PS-	PR+	CT+	PR-	PR-	PS+
SNC16	CT-	PS+	PS+	CT-	Uu	CT+	PS+
BNI17	Uu	PS-	CT+	Uu	CT+	CT+	PS-
INI17	PS-	PR+	CT+	PS-	PR-	CT+	PR-
SNI17	CT+	Uu	CT+	Uu	CT+	PR-	PS+
BNC17	PS-	PS-	CT+	Uu	CT+	CT+	CT+
INC17	PS-	PR+	PR-	Uu	PS+	Uu	PR-
SNC17	PS-	PS-	PR+	PR-	PR+	PR+	PS+
BNI18	PR+	CT+	CT+	CT+	PR+	PS+	PR+
INI18	CT-	PS+	PR+	PS+	CT+	PR+	CT+
BNC18	PR-	PR-	CT+	PS-	CT+	CT+	PS-
INC18	PS+	CT+	PS+	CT+	PR+	CT+	PR-
SNC18	PS-	CT-	PR+	PR+	Uu	PR+	CT+
BNI19	PS+	CT+	CT+	PS-	Uu	CT-	PR+
SNI19	CT+	PS-	PR+	PS-	CT+	CT-	CT-
INC19	CT-	PS+	CT-	PS-	CT+	CT+	PR+
SNC19	PR+	PR+	Uu	CT+	CT+	PR-	CT+
BNI20	CT+	PR+	PS-	CT+	PR+	PS-	CT+
INI20	Uu	Uu	PR+	PS+	PS+	CT-	PS+
SNI20	CT+	PR-	CT+	CT+	CT+	CT-	CT+
SNC20	CT+	PS+	PS+	PR+	PS+	CT+	CT+
BNI21	PS+	CT-	CT+	CT+	CT+	Uu	PR+
