SOURCE	ID	PREMISE	HYPOTHESIS
PRETEST	BNC1	El gobierno dijo que el país tenía problemas económicos.	El país tenía problemas económicos.
PRETEST	BNC2	El comité de expertos creía que la tendencia había cambiado.	La tendencia había cambiado.
PRETEST	BNC3	El periódico sabía que la noticia era falsa.	La noticia era falsa.
PRETEST	BNC4	La junta directiva pensó que la reunión con los abogados había ido bien.	La reunión con los abogados había ido bien. 
PRETEST	BNC5	La familia anunció que había recortado gastos.	La familia había recortado gastos.
PRETEST	BNC6	La universidad anunció que las clases iban a ser presenciales.	Las clases iban a ser presenciales.
PRETEST	BNC7	El sindicato sospechaba que el gobierno no iba a cumplir lo acordado.	El gobierno no iba a cumplir lo acordado.
PRETEST	BNC8	El ministerio comunicó que iba a implementar nuevas medidas.	El ministerio iba a implementar nuevas medidas.
PRETEST	BNC9	El canal de televisión anunció que la periodista iba a ser despedida.	La periodista iba a ser despedida.
PRETEST	BNC10	El gobierno nacional dijo que el país tenía problemas económicos.	El país tenía problemas económicos.
PRETEST	BNC11	El comité de expertos del gobierno creía que la tendencia había cambiado.	La tendencia había cambiado.
PRETEST	BNC12	El periódico nacional sabía que la noticia era falsa.	La noticia era falsa.
PRETEST	BNC13	La junta directiva del club de fútbol pensó que la reunión con los abogados había ido bien.	La reunión con los abogados había ido bien. 
PRETEST	BNC14	La familia real anunció que había recortado gastos.	La familia real había recortado gastos.
PRETEST	BNC15	La universidad madrileña anunció que las clases iban a ser presenciales.	Las clases iban a ser presenciales.
PRETEST	BNC16	El sindicato de la empresa sospechaba que el gobierno no iba a cumplir lo acordado.	El gobierno no iba a cumplir lo acordado.
PRETEST	BNC17	El Ministerio de Sanidad comunicó que iba a implementar nuevas medidas.	El Ministerio de Sanidad iba a implementar nuevas medidas.
PRETEST	BNC18	La televisión pública anunció que la periodista iba a ser despedida.	La periodista iba a ser despedida.
PRETEST	BNC19	El gobierno español dijo que el país tenía problemas económicos.	El país tenía problemas económicos.
