SOURCE	ID	PREMISE	HYPOTHESIS
PRETEST	INC1	El gobierno no dijo que el país tenía problemas económicos.	El país tenía problemas económicos.
PRETEST	INC2	El comité de expertos no creía que la tendencia había cambiado.	La tendencia había cambiado.
PRETEST	INC3	El periódico no sabía que la noticia era falsa.	La noticia era falsa.
PRETEST	INC4	La junta directiva no pensó que la reunión con los abogados había ido bien.	La reunión con los abogados había ido bien. 
PRETEST	INC5	La familia no anunció que habían recortado gastos.	La familia había recortado gastos.
PRETEST	INC6	La universidad no anunció que las clases iban a ser presenciales.	Las clases iban a ser presenciales.
PRETEST	INC7	El sindicato no sospechaba que el gobierno no iba a cumplir lo acordado.	El gobierno no iba a cumplir lo acordado.
PRETEST	INC8	El ministerio no comunicó que iba a implementar nuevas medidas.	El ministerio iba a implementar nuevas medidas.
PRETEST	INC9	El canal de televisión no anunció que la periodista iba a ser despedida.	La periodista iba a ser despedida.
PRETEST	INC10	El gobierno nacional no dijo que el país tenía problemas económicos.	El país tenía problemas económicos.
PRETEST	INC11	El comité de expertos del gobierno no creía que la tendencia había cambiado.	La tendencia había cambiado.
PRETEST	INC12	El periódico nacional no sabía que la noticia era falsa.	La noticia era falsa.
PRETEST	INC13	La junta directiva del club de fútbol no pensó que la reunión con los abogados había ido bien.	La reunión con los abogados había ido bien.
PRETEST	INC14	La familia real no anunció que había recortado gastos.	La familia real había recortado gastos.
PRETEST	INC15	La universidad madrileña no anunció que las clases iban a ser presenciales.	Las clases iban a ser presenciales.
PRETEST	INC16	El sindicato de la empresa no sospechaba que el gobierno no iba a cumplir lo acordado.	El gobierno no iba a cumplir lo acordado.
PRETEST	INC17	El Ministerio de Sanidad no comunicó que iba a implementar nuevas medidas.	El Ministerio de Sanidad iba a implementar nuevas medidas.
PRETEST	INC18	La televisión pública no anunció que la periodista iba a ser despedida.	La periodista iba a ser despedida.
PRETEST	INC19	El gobierno español no dijo que el país tenía problemas económicos.	El país tenía problemas económicos.
PRETEST	INC20	El comité de expertos del gobierno español no creía que la tendencia había cambiado.	La tendencia había cambiado.
PRETEST	INC21	La Razón no sabía que la noticia era falsa.	La noticia era falsa.
PRETEST	INC22	La junta directiva del Barça no pensó que la reunión con los abogados había ido bien.	La reunión con los abogados había ido bien. 
PRETEST	INC23	La familia real española no anunció que había recortado gastos.	La familia real española había recortado gastos.
PRETEST	INC24	La UCM no anunció que las clases iban a ser presenciales.	Las clases iban a ser presenciales.
PRETEST	INC25	Comisiones Obreras no sospechaba que el gobierno no iba a cumplir lo acordado.	El gobierno no iba a cumplir lo acordado.
PRETEST	INC26	El Ministerio de Sanidad español no comunicó que iba a implementar nuevas medidas.	El Ministerio de Sanidad español iba a implementar nuevas medidas.
PRETEST	INC27	RTVE no anunció que la periodista iba a ser despedida.	La periodista iba a ser despedida.
DAVES	INC28	Muchos centros educativos no saben que es una competencia.	Es una competencia. 
OLD_NEWS	INC29	La mayoría de los clientes no sabe que él es escritor.	Él es escritor.
UN_2000	INC30	Sin un órgano de esa clase la Conferencia de Desarme no puede afirmar que está haciendo frente a las amenazas más graves para la seguridad internacional.	La Conferencia de Desarme está haciendo frente a las amenazas más graves para la seguridad internacional. 
UN_2000	INC31	La mayoría de organizaciones regionales no consideraba que la protección de los niños afectados por los conflictos armados pertenecía a sus programas.	La protección de los niños afectados por los conflictos armados problema pertenecía a los programas de las organizaciones regionales.
UN_2000	INC32	En otras palabras, las Naciones Unidas no pueden afirmar que la composición actual del Consejo de Seguridad es representativa de todos sus miembros.	La composición actual del Consejo de Seguridad es representativa de todos sus miembros. 
UN_2000	INC33	El Comité no debe considerar que el asunto se limita a un examen de fondo de la comunicación.	El asunto se limita a un examen de fondo de la comunicación. 
UN_2000	INC34	El Comité Permanente no ha considerado que las opiniones expresadas en 1996 por el Comité Preparatorio constituían los trabajos preparatorios.	Las opiniones expresadas en 1996 por el Comité Preparatorio constituían los trabajos preparatorios. 
UN_2000	INC35	El personal de la Oficina de las Naciones Unidas en Nairobi no advirtió que el número de cuenta indicado en el fax de la Misión era ligeramente distinto.	El número de cuenta indicado en el fax de la Misión era ligeramente distinto.
UN_2000	INC36	La comunidad internacional no debía dudar que aún existía el racismo.	El racismo aún existía.
UN_2000	INC37	Mientras el Comité encargado del Cumplimiento no determine que dicha Parte no cumple una o varias de las condiciones enunciadas en el párrafo 1.	Dicha Parte no cumple una o varias de las condiciones enunciadas en el párrafo 1.
UN_2000	INC38	Así pues, el Gobierno no niega que ha permitido a los acusados ser examinados y tratados por sus propios médicos.	El Gobierno ha permitido a los acusados ser examinados y tratados por sus propios médicos.
UN_2000	INC39	Los primeros gobiernos no quisieron admitir que la pobreza constituía un problema.	La pobreza constituía un problema.
UN_2000	INC40	Ahora bien, la Comisión no debiera olvidar que el Grupo de Trabajo sobre las Poblaciones Indígenas es la única instancia permanente abierta de manera democrática a los indígenas.	El Grupo de Trabajo sobre las Poblaciones Indígenas es la única instancia permanente abierta de manera democrática a los indígenas. 
UN_2000	INC41	Eritrea no sospechaba que esto formaba parte de un proyecto coherente a largo plazo organizado por las autoridades de Etiopía.	Esto formaba parte de un proyecto coherente a largo plazo organizado por las autoridades de Etiopía.
OLD_NEWS	INC42	La gente no entiende que discapacidad es diferente a incapacidad.	Discapacidad es diferente a incapacidad.
UN_2001	INC43	Suiza no puede negar que abrigaba esperanzas de que se aprobase el documento.	Suiza abrigaba esperanzas de que se aprobase el documento. 
UN_2001	INC44	Mi delegación no cree que esta situación es prometedora.	Esta situación es prometedora.
UN_2001	INC45	Los Estados Unidos no consideran que en cada territorio el proceso de descolonización debe transcurrir de la misma manera.	En cada territorio el proceso de descolonización debe transcurrir de la misma manera. 
UN_2001	INC46	La comunidad internacional no debe olvidar que para ciertos países la acogida de los refugiados y los daños ocasionados al medio ambiente por su prolongada estadía suponen una enorme carga.	Para ciertos países la acogida de los refugiados y los daños ocasionados al medio ambiente por su prolongada estadía suponen una enorme carga.
UN_2001	INC47	La Secretaría no debe considerar que la publicación en el sitio de la CDI en la web sustituye a la publicación en los idiomas oficiales de las Naciones Unidas.	La publicación en el sitio de la CDI en la web sustituye a la publicación en los idiomas oficiales de las Naciones Unidas.
UN_2001	INC48	La República de Armenia no considera que se ha transferido el equipo.	Se ha transferido el equipo.
UN_2001	INC49	La Oficina del Director de la Fiscalía no había confirmado que seguían pendientes las acusaciones contra los carceleros.	Seguían pendientes las acusaciones contra los carceleros.
UN_2001	INC50	El país anfitrión no había reconocido que el requerimiento de congelación era intrínsecamente ilícito.	El requirimiento de congelación era intrínsicamente ilícito.
UN_2001	INC51	El mundo no debe olvidar que es una familia humana, independientemente de las diferencias.	El mundo es una familia humana, independientemente de las diferencias.
