SOURCE	ID	PREMISE	HYPOTHESIS
PRETEST	SNC1	El gobierno no dijo que el país tuviera problemas económicos.	El país tenía problemas económicos.
PRETEST	SNC2	El comité de expertos no creía que la tendencia hubiera cambiado.	La tendencia había cambiado.
PRETEST	SNC3	El periódico no sabía que la noticia fuera falsa.	La noticia era falsa.
PRETEST	SNC4	La junta directiva no pensó que la reunión con los abogados hubiera ido bien.	La reunión con los abogados había ido bien.
PRETEST	SNC5	La familia no anunció que hubiera recortado gastos.	La familia había recortado gastos.
PRETEST	SNC6	La universidad no anunció que las clases fueran a ser presenciales.	Las clases iban a ser presenciales.
PRETEST	SNC7	El sindicato no sospechaba que el gobierno no fuera a cumplir lo acordado.	El gobierno no iba a cumplir lo acordado.
PRETEST	SNC8	El ministerio no comunicó que fuera a implementar nuevas medidas.	El ministerio iba a implementar nuevas medidas.
PRETEST	SNC9	El canal de televisión no anunció que la periodista fuera a ser despedida.	La periodista iba a ser despedida.
PRETEST	SNC10	El gobierno nacional no dijo que el país tuviera problemas económicos.	El país tenía problemas económicos.
PRETEST	SNC11	El comité de expertos del gobierno no creía que la tendencia hubiera cambiado.	La tendencia había cambiado.
PRETEST	SNC12	El periódico nacional no sabía que la noticia fuera falsa.	La noticia era falsa.
PRETEST	SNC13	La junta directiva del club de fútbol no pensó que la reunión con los abogados hubiera ido bien.	La reunión con los abogados había ido bien.
PRETEST	SNC14	La familia real no anunció que hubiera recortado gastos.	La familia real había recortado gastos.
PRETEST	SNC15	La universidad madrileña no anunció que las clases fueran a ser presenciales.	Las clases iban a ser presenciales.
PRETEST	SNC16	El sindicato de la empresa no sospechaba que el gobierno no fuera a cumplir lo acordado.	El gobierno no iba a cumplir lo acordado.
PRETEST	SNC17	El Ministerio de Sanidad no comunicó que fuera a implementar nuevas medidas.	El Ministerio de Sanidad iba a implementar nuevas medidas.
PRETEST	SNC18	La televisión pública no anunció que la periodista fuera a ser despedida.	La periodista iba a ser despedida.
PRETEST	SNC19	El gobierno español no dijo que el país tuviera problemas económicos.	El país tenía problemas económicos.
PRETEST	SNC20	El comité de expertos del gobierno español no creía que la tendencia hubiera cambiado.	La tendencia había cambiado.
PRETEST	SNC21	La Razón no sabía que la noticia fuera falsa.	La noticia era falsa.
PRETEST	SNC22	La junta directiva del Barça no pensó que la reunión con los abogados hubiera ido bien.	La reunión con los abogados había ido bien.
PRETEST	SNC23	La familia real española no anunció que hubiera recortado gastos.	La familia real española había recortado gastos.
PRETEST	SNC24	La UCM no anunció que las clases fueran a ser presenciales.	Las clases iban a ser presenciales.
PRETEST	SNC25	Comisiones Obreras no sospechaba que el gobierno no fuera a cumplir lo acordado.	El gobierno no iba a cumplir lo acordado.
PRETEST	SNC26	El Ministerio de Sanidad español no comunicó que fuera a implementar nuevas medidas.	El Ministerio de Sanidad español iba a implementar nuevas medidas.
PRETEST	SNC27	RTVE no anunció que la periodista fuera a ser despedida.	La periodista iba a ser despedida.
DAVES	SNC28	Muchos centros educativos no saben que sea una competencia.	Es una competencia. 
OLD_NEWS	SNC29	La mayoría de los clientes no sabe que él sea escritor.	Él es escritor.
UN_2000	SNC30	Sin un órgano de esa clase la Conferencia de Desarme no puede afirmar que esté haciendo frente a las amenazas más graves para la seguridad internacional.	La Conferencia de Desarme está haciendo frente a las amenazas más graves para la seguridad internacional. 
UN_2000	SNC31	La mayoría de organizaciones regionales no consideraba que la protección de los niños afectados por los conflictos armados perteneciera a sus programas.	La protección de los niños afectados por los conflictos armados problema pertenecía a los programas de las organizaciones regionales.
