ID	Embedded	Auxiliar	Modal	Person	Number	Mood	Tense
BNI1	llamar	estar	NaN	3	P	I	I
BNI2	tener	NaN	NaN	3	S	I	I
BNI3	cambiar	haber	NaN	3	S	I	I
BNI4	ser	NaN	NaN	3	S	I	I
BNI5	cambiar	ir	NaN	3	S	I	I
BNI6	comprar	haber	NaN	3	S	I	I
BNI7	tener	ir	NaN	3	S	I	I
BNI8	cesar	haber	NaN	3	P	I	I
BNI9	ser	ir	NaN	3	S	I	I
BNI10	llamar	estar	NaN	3	P	I	I
BNI11	tener	NaN	NaN	3	S	I	I
BNI12	cambiar	haber	NaN	3	S	I	I
BNI13	ser	NaN	NaN	3	S	I	I
BNI14	cambiar	ir	NaN	3	S	I	I
BNI15	comprar	haber	NaN	3	S	I	I
BNI16	tener	ir	NaN	3	S	I	I
BNI17	cesar	haber	NaN	3	P	I	I
BNI18	ser	ir	NaN	3	S	I	I
BNI19	llamar	estar	NaN	3	P	I	I
BNI20	tener	NaN	NaN	3	S	I	I
BNI21	cambiar	haber	NaN	3	S	I	I
BNI22	ser	NaN	NaN	3	S	I	I
BNI23	cambiar	ir	NaN	3	S	I	I
BNI24	comprar	haber	NaN	3	S	I	I
BNI25	tener	ir	NaN	3	S	I	I
BNI26	cesar	haber	NaN	3	P	I	I
BNI27	ser	ir	NaN	3	S	I	I
BNI28	ser	NaN	NaN	3	S	I	P
BNI29	retener	haber	NaN	3	S	I	I
BNI30	detener	haber ser	NaN	3	S	I	I
BNI31	ser	NaN	NaN	3	P	I	I
BNI32	ser	NaN	NaN	3	S	I	P
BNI33	ser	NaN	NaN	3	S	I	I
BNI34	ser	NaN	NaN	3	S	I	P
BNI35	tratar	NaN	NaN	3	S	I	I
BNI36	ocultar	NaN	NaN	3	S	I	I
BNI37	ser	NaN	NaN	3	S	I	P
BNI38	estar	NaN	NaN	3	S	I	I
BNI39	llamar	NaN	NaN	3	S	I	P
BNI40	tratar	NaN	NaN	2	S	M	0
BNI41	ser	NaN	NaN	3	S	I	I
BNI42	ser	ir	NaN	3	S	I	I
BNI43	ver	estar	NaN	3	S	I	I
BNI44	tener	NaN	NaN	3	P	I	P
BNI45	desarmar	estar	NaN	3	S	I	I
BNI46	ser	NaN	NaN	3	S	I	I
BNI47	ser	NaN	NaN	3	S	I	I
BNI48	ser	NaN	NaN	3	P	I	P
BNI49	ser	NaN	NaN	3	P	I	P
BNI50	pagar	haber	NaN	3	S	I	I
BNI51	ejercer	NaN	NaN	3	S	I	I
BNI52	demostrar	haber	NaN	3	S	I	P
BNI53	enterrar	haber ser	NaN	3	P	I	I
BNI54	tener	ir	NaN	3	S	I	I
BNI55	interpretar	estar	NaN	3	S	I	I
BNI56	estar	NaN	NaN	3	S	I	P
BNI57	meter	haber	NaN	3	S	I	I
BNI58	mantener	NaN	deber	3	S	I	P
BNI59	ser	NaN	NaN	3	S	I	I
BNI60	producir	haber	NaN	3	S	I	P
BNI61	decepcionar	NaN	NaN	3	S	I	P
BNI62	ser	NaN	deber	3	S	I	P
BNI63	correr	NaN	NaN	3	P	I	P
BNI64	ser	NaN	NaN	3	P	I	P
BNI65	ser	NaN	NaN	3	S	I	P
BNI66	ejecutar	haber ser	NaN	3	S	I	I
BNI67	violar	NaN	NaN	2	S	M	0
BNI68	explorar	NaN	NaN	3	P	I	S
BNI69	reconocer	haber	NaN	3	S	I	P
BNI70	tener	NaN	NaN	3	S	I	I
BNI71	ser	NaN	NaN	3	S	I	P
BNI72	estar	NaN	NaN	3	P	I	I
BNI73	andar	ir	NaN	3	S	I	I
BNI74	aumentar	haber	NaN	3	P	I	P
BNI75	vivir	NaN	NaN	3	S	I	P
BNI76	ser	NaN	NaN	3	S	I	P
BNI77	armar	estar	NaN	3	S	I	P
BNI78	ser	NaN	NaN	3	S	I	P
BNI79	ser	NaN	poder	3	P	I	P
BNI80	existir	NaN	NaN	3	P	I	I
BNI81	lograr	NaN	NaN	3	P	I	S
BNI82	tratar	NaN	NaN	3	S	I	P
BNI83	solucionar	NaN	deber	3	P	I	P
BNI84	tener	NaN	NaN	3	P	I	P
BNI85	solucionar	NaN	deber	3	S	I	P
BNI86	correr	NaN	NaN	3	P	I	P
BNI87	violar	haber	NaN	3	S	I	I
BNI88	anexar	haber	NaN	3	S	I	P
BNI89	construir	haber	NaN	3	S	I	P
BNI90	aplazar	estar	NaN	3	P	I	I
BNC1	tener	NaN	NaN	3	S	I	I
BNC2	cambiar	haber	NaN	3	S	I	I
BNC3	ser	NaN	NaN	3	S	I	I
BNC4	ir	haber	NaN	3	S	I	I
BNC5	recortar	haber	NaN	3	P	I	I
BNC6	ser	ir	NaN	3	P	I	I
BNC7	cumplir	ir	NaN	3	S	I	I
BNC8	implementar	ir	NaN	3	S	I	I
BNC9	ser	ir	NaN	3	S	I	I
BNC10	tener	NaN	NaN	3	S	I	I
BNC11	cambiar	haber	NaN	3	S	I	I
BNC12	ser	NaN	NaN	3	S	I	I
BNC13	ir	haber	NaN	3	S	I	I
BNC14	recortar	haber	NaN	3	S	I	I
BNC15	ser	ir	NaN	3	P	I	I
BNC16	cumplir	ir	NaN	3	S	I	I
BNC17	implementar	ir	NaN	3	S	I	I
BNC18	ser	ir	NaN	3	S	I	I
BNC19	tener	NaN	NaN	3	S	I	I
BNC20	cambiar	haber	NaN	3	S	I	I
BNC21	ser	NaN	NaN	3	S	I	I
BNC22	ir	haber	NaN	3	S	I	I
