ID	Matrix	Auxiliar	Modal	Person	Number	Mood	Tense
BNI1	oír	NaN	NaN	3	S	I	S
BNI2	decir	NaN	NaN	3	S	I	S
BNI3	creer	NaN	NaN	3	S	I	I
BNI4	saber	NaN	NaN	3	S	I	I
BNI5	anunciar	NaN	NaN	3	S	I	S
BNI6	sospechar	NaN	NaN	3	S	I	I
BNI7	intuir	NaN	NaN	3	S	I	I
BNI8	creer	NaN	NaN	3	S	I	S
BNI9	saber	NaN	NaN	3	S	I	I
BNI10	oír	NaN	NaN	3	S	I	S
BNI11	decir	NaN	NaN	3	S	I	S
BNI12	creer	NaN	NaN	3	S	I	I
BNI13	saber	NaN	NaN	3	S	I	I
BNI14	anunciar	NaN	NaN	3	S	I	S
BNI15	sospechar	NaN	NaN	3	S	I	I
BNI16	intuir	NaN	NaN	3	S	I	I
BNI17	creer	NaN	NaN	3	S	I	S
BNI18	saber	NaN	NaN	3	S	I	I
BNI19	oír	NaN	NaN	3	S	I	S
BNI20	decir	NaN	NaN	3	S	I	S
BNI21	creer	NaN	NaN	3	S	I	I
BNI22	saber	NaN	NaN	3	S	I	I
BNI23	anunciar	NaN	NaN	3	S	I	S
BNI24	sospechar	NaN	NaN	3	S	I	I
BNI25	intuir	NaN	NaN	3	S	I	I
BNI26	creer	NaN	NaN	3	S	I	S
BNI27	saber	NaN	NaN	3	S	I	I
BNI28	creer	NaN	NaN	1	S	I	P
BNI29	saber	NaN	NaN	3	S	I	I
BNI30	saber	NaN	NaN	3	S	I	I
BNI31	saber	NaN	NaN	3	P	I	I
BNI32	sospechar	NaN	NaN	3	S	I	P
BNI33	declarar	NaN	NaN	3	S	I	S
BNI34	dudar	NaN	NaN	3	S	I	P
BNI35	entender	NaN	NaN	3	P	I	I
BNI36	advertir	haber	NaN	3	S	S	I
BNI37	saber	NaN	NaN	3	S	I	P
BNI38	saber	NaN	NaN	3	S	I	I
BNI39	olvidar	NaN	NaN	3	S	I	S
BNI40	dudar	NaN	NaN	3	P	I	P
BNI41	saber	NaN	NaN	3	S	I	I
BNI42	pensar	NaN	NaN	3	S	I	I
BNI43	saber	NaN	NaN	3	S	I	I
BNI44	aceptar	NaN	NaN	3	P	I	P
BNI45	ver	haber	poder	3	S	I	I
BNI46	creer	ir	NaN	3	P	I	P
BNI47	saber	NaN	NaN	3	P	I	P
BNI48	saber	NaN	NaN	3	P	I	P
BNI49	saber	NaN	NaN	3	P	I	P
BNI50	probar	haber	NaN	3	S	I	P
BNI51	dudar	NaN	NaN	3	P	I	I
BNI52	demostrar	haber	NaN	3	S	I	P
BNI53	saber	NaN	NaN	3	P	I	I
BNI54	saber	NaN	NaN	3	S	I	I
BNI55	sentir	NaN	NaN	3	S	I	I
BNI56	mencionar	NaN	NaN	3	S	I	S
BNI57	saber	NaN	NaN	3	S	I	P
BNI58	decir	haber	NaN	3	S	I	P
BNI59	considerar	NaN	NaN	3	S	I	S
BNI60	considerar	NaN	poder	3	S	I	P
BNI61	ocultar	NaN	poder	1	S	I	P
BNI62	decir	NaN	querer	1	S	I	P
BNI63	demostrar	haber	NaN	3	P	I	P
BNI64	saber	NaN	NaN	3	P	I	P
BNI65	entender	NaN	poder	3	S	I	P
BNI66	saber	NaN	NaN	3	S	I	I
