ID	Matrix	Auxiliar	Modal	Veridicality	Person	Number	Mood	Tense
BNI1	oír			+/+	3	S	I	S
BNI2	decir			o/o	3	S	I	S
BNI3	creer			o/o	3	S	I	I
BNI4	saber			+/+	3	S	I	I
BNI5	anunciar			o/o	3	S	I	S
BNI6	sospechar			o/o	3	S	I	I
BNI7	intuir			o/o	3	S	I	I
BNI8	creer			o/o	3	S	I	S
BNI9	saber			+/+	3	S	I	I
BNI10	oír			+/+	3	S	I	S
BNI11	decir			o/o	3	S	I	S
BNI12	creer			o/o	3	S	I	I
BNI13	saber			+/+	3	S	I	I
BNI14	anunciar			o/o	3	S	I	S
BNI15	sospechar			o/o	3	S	I	I
BNI16	intuir			o/o	3	S	I	I
BNI17	creer			o/o	3	S	I	S
BNI18	saber			+/+	3	S	I	I
BNI19	oír			+/+	3	S	I	S
BNI20	decir			o/o	3	S	I	S
BNI21	creer			o/o	3	S	I	I
BNI22	saber			+/+	3	S	I	I
BNI23	anunciar			o/o	3	S	I	S
BNI24	sospechar			o/o	3	S	I	I
BNI25	intuir			o/o	3	S	I	I
BNI26	creer			o/o	3	S	I	S
BNI27	saber			+/+	3	S	I	I
BNI28	creer			o/o	1	S	I	P
BNI29	saber			+/+	3	S	I	I
BNI30	saber			+/+	3	S	I	I
BNI31	saber			+/+	3	P	I	I
BNI32	sospechar			o/o	3	S	I	P
BNI33	declarar			o/o	3	S	I	S
BNI34	dudar			o/o	3	S	I	P
BNI35	entender			+/+	3	P	I	I
BNI36	advertir	haber		+/+	3	S	S	I
BNI37	saber			+/+	3	S	I	P
BNI38	saber			+/+	3	S	I	I
BNI39	olvidar			+/-	3	S	I	S
BNI40	dudar			o/o	3	P	I	P
BNI41	saber			+/+	3	S	I	I
BNI42	pensar			+/-	3	S	I	I
BNI43	saber			+/+	3	S	I	I
BNI44	aceptar			+/+	3	P	I	P
BNI45	ver	haber	poder	+/+	3	S	I	I
BNI46	creer	ir		o/o	3	P	I	P
BNI47	saber			+/+	3	P	I	P
BNI48	saber			+/+	3	P	I	P
BNI49	saber			+/+	3	P	I	P
BNI50	probar	haber		+/o	3	S	I	P
BNI51	dudar			o/o	3	P	I	I
BNI52	demostrar	haber		+/o	3	S	I	P
BNI53	saber			+/+	3	P	I	I
BNI54	saber			+/+	3	S	I	I
BNI55	sentir			+/+	3	S	I	I
BNI56	mencionar			o/o	3	S	I	S
BNI57	saber			+/+	3	S	I	P
BNI58	decir	haber		o/o	3	S	I	P
BNI59	considerar			o/o	3	S	I	S
BNI60	considerar		poder	o/o	3	S	I	P
BNI61	ocultar		poder	+/+	1	S	I	P
BNI62	decir		querer	o/o	1	S	I	P
BNI63	demostrar	haber		+/o	3	P	I	P
