Matrix	Veridicality
aceptar	+/+	
admitir	+/+
aducir	+/-
advertir	+/+
afirmar	+/o
anunciar	o/o
comprender	+/+
comunicar	o/o
concluir	o/o
confirmar	+/o
considerar	o/o
creer	o/o
decir	o/o
declarar	o/o
demostrar	+/o
descubrir	+/+
determinar	+/o
discutir	o/o
distinguir	+/+
dudar	o/o
entender	+/+
ignorar	+/+
intuir	o/o
mencionar	o/o
negar	-/o
ocultar	+/+
olvidar	+/-
oír	+/+
pensar	+/-
pretender	-/o
prever	+/+
probar	+/o
reconocer	+/+
saber	+/+
sentir	+/+
sospechar	o/o
sostener	o/o
suponer	o/o
ver	+/+
