ID	PREMISE	HYPOTHESIS
IAC1	Quizás el sindicato tenía otra idea.	El sindicato tenía otra idea.
IAC2	Tal vez el gobierno conocía la corrupción existente.	El gobierno conocía la corrupción existente.
IAC3	Seguramente la junta directiva cumplió lo acordado.	La junta directiva cumplió lo acordado. 
IAC4	Quizás la universidad denunció los hechos.	La universidad denunció los hechos.
IAC5	Tal vez la empresa despidió a buena parte de sus trabajadores.	La empresa despidió a buena parte de sus trabajadores.
IAC6	Seguramente la policía desalojó la zona.	La policía desalojó la zona.
IAC7	Posiblemente la academia presentó a sus nuevos miembros.	La academia presentó a sus nuevos miembros.
IAC8	Probablemente el partido prohibió poner la bandera nacional en sus actos.	El partido prohibió poner la bandera nacional en sus actos.
IAC9	Probablemente el instituto arrestó a los criminales.	El instituto arrestó a los criminales.

IAC10	Quizás el sindicato de la empresa tenía otra idea.	El sindicato de la empresa tenía otra idea.
IAC11	Tal vez el gobierno nacional conocía la corrupción existente.	El gobierno nacional conocía la corrupción existente.
IAC12	Seguramente la junta directiva del club cumplió lo acordado.	La junta directiva del club cumplió lo acordado. 
IAC13	Quizás la universidad madrileña denunció los hechos.	La universidad madrileña denunció los hechos.
IAC14	Tal vez la empresa americana despidió a buena parte de sus trabajadores.	La empresa americana despidió a buena parte de sus trabajadores.
IAC15	Seguramente la policía local desalojó la zona.	La policía local desalojó la zona.
IAC16	Posiblemente la academia de la lengua presentó a sus nuevos miembros.	La academia de la lengua presentó a sus nuevos miembros.
IAC17	Probablemente el partido nacionalista prohibió poner la bandera nacional en sus actos.	El partido nacionalista prohibió poner la bandera nacional en sus actos.
IAC18	Probablemente el instituto armado arrestó a los criminales.	El instituto armado arrestó a los criminales.

IAC19	Quizás Comisiones Obreras tenía otra idea.	Comisiones Obreras tenía otra idea.
IAC20	Tal vez el gobierno español conocía la corrupción existente.	El gobierno español conocía la corrupción existente.
IAC21	Seguramente la junta directiva del Real Madrid cumplió lo acordado.	La junta directiva del Real Madrid cumplió lo acordado. 
IAC22	Quizás la UCM denunció los hechos.	La UCM denunció los hechos.
IAC23	Tal vez Coca Cola despidió a buena parte de sus trabajadores.	Coca Cola despidió a buena parte de sus trabajadores.
IAC24	Seguramente la policía local de Madrid desalojó la zona.	La policía local de Madrid desalojó la zona.
IAC25	Posiblemente la RAE presentó a sus nuevos miembros.	La RAE presentó a sus nuevos miembros.
IAC26	Probablemente VOX prohibió poner la bandera nacional en sus actos.	VOX prohibió poner la bandera nacional en sus actos.
IAC27	Probablemente la Guardia Civil arrestó a los criminales.	La Guardia Civil arrestó a los criminales.
